1053 Total Scenarios Tested.
974 Passed Scenarios (92.4976%)
79 Failed Scenarios (7.50237%)
---------
PASS: Zone J, inDir WEST , Links B-B* NE 
PASS: Zone J, inDir WEST , Links B-B* -- 
PASS: Zone J, inDir WEST , Links B-BF NE 
PASS: Zone J, inDir WEST , Links B-BF -- 
FAIL: Zone J, inDir WEST , Links B-BB NE 
FAIL: Zone J, inDir WEST , Links B-BB -- 
PASS: Zone K, inDir NORTH, Links *-** -- 
PASS: Zone K, inDir NORTH, Links *-*F -- 
PASS: Zone K, inDir NORTH, Links *-*B -- 
PASS: Zone K, inDir NORTH, Links *-F* -- 
PASS: Zone K, inDir NORTH, Links *-FF -- 
PASS: Zone K, inDir NORTH, Links *-FB -- 
PASS: Zone K, inDir NORTH, Links *-B* -- 
PASS: Zone K, inDir NORTH, Links *-BF -- 
PASS: Zone K, inDir NORTH, Links *-BB -- 
PASS: Zone K, inDir NORTH, Links F-** -- 
PASS: Zone K, inDir NORTH, Links F-*F -- 
PASS: Zone K, inDir NORTH, Links F-*B -- 
PASS: Zone K, inDir NORTH, Links F-F* -- 
PASS: Zone K, inDir NORTH, Links F-FF -- 
PASS: Zone K, inDir NORTH, Links F-FB -- 
PASS: Zone K, inDir NORTH, Links F-B* -- 
PASS: Zone K, inDir NORTH, Links F-BF -- 
PASS: Zone K, inDir NORTH, Links F-BB -- 
PASS: Zone K, inDir NORTH, Links B-** -- 
PASS: Zone K, inDir NORTH, Links B-*F -- 
PASS: Zone K, inDir NORTH, Links B-*B -- 
PASS: Zone K, inDir NORTH, Links B-F* -- 
PASS: Zone K, inDir NORTH, Links B-FF -- 
PASS: Zone K, inDir NORTH, Links B-FB -- 
PASS: Zone K, inDir NORTH, Links B-B* -- 
PASS: Zone K, inDir NORTH, Links B-BF -- 
PASS: Zone K, inDir NORTH, Links B-BB -- 
PASS: Zone K, inDir EAST , Links *-** -- 
PASS: Zone K, inDir EAST , Links *-*F -- 
PASS: Zone K, inDir EAST , Links *-*B -- 
PASS: Zone K, inDir EAST , Links *-F* -- 
PASS: Zone K, inDir EAST , Links *-FF -- 
PASS: Zone K, inDir EAST , Links *-FB -- 
PASS: Zone K, inDir EAST , Links *-B* -- 
PASS: Zone K, inDir EAST , Links *-BF -- 
PASS: Zone K, inDir EAST , Links *-BB -- 
PASS: Zone K, inDir EAST , Links F-** -- 
