324 Total Scenarios Tested.
324 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone P, inDir EAST , Links *B-- -- 
PASS: Zone P, inDir EAST , Links F*-- NE 
PASS: Zone P, inDir EAST , Links F*-- -- 
PASS: Zone P, inDir EAST , Links FF-- NE 
PASS: Zone P, inDir EAST , Links FF-- -- 
PASS: Zone P, inDir EAST , Links FB-- NE 
PASS: Zone P, inDir EAST , Links FB-- -- 
PASS: Zone P, inDir EAST , Links B*-- NE 
PASS: Zone P, inDir EAST , Links B*-- -- 
PASS: Zone P, inDir EAST , Links BF-- NE 
PASS: Zone P, inDir EAST , Links BF-- -- 
PASS: Zone P, inDir EAST , Links BB-- NE 
PASS: Zone P, inDir EAST , Links BB-- -- 
PASS: Zone Q, inDir NORTH, Links **-- NE 
PASS: Zone Q, inDir NORTH, Links **-- -- 
PASS: Zone Q, inDir NORTH, Links *F-- NE 
PASS: Zone Q, inDir NORTH, Links *F-- -- 
PASS: Zone Q, inDir NORTH, Links *B-- NE 
PASS: Zone Q, inDir NORTH, Links *B-- -- 
PASS: Zone Q, inDir NORTH, Links F*-- NE 
PASS: Zone Q, inDir NORTH, Links F*-- -- 
PASS: Zone Q, inDir NORTH, Links FF-- NE 
PASS: Zone Q, inDir NORTH, Links FF-- -- 
PASS: Zone Q, inDir NORTH, Links FB-- NE 
PASS: Zone Q, inDir NORTH, Links FB-- -- 
PASS: Zone Q, inDir NORTH, Links B*-- NE 
PASS: Zone Q, inDir NORTH, Links B*-- -- 
PASS: Zone Q, inDir NORTH, Links BF-- NE 
PASS: Zone Q, inDir NORTH, Links BF-- -- 
PASS: Zone Q, inDir NORTH, Links BB-- NE 
PASS: Zone Q, inDir NORTH, Links BB-- -- 
PASS: Zone Q, inDir EAST , Links **-- NE 
PASS: Zone Q, inDir EAST , Links **-- -- 
PASS: Zone Q, inDir EAST , Links *F-- NE 
PASS: Zone Q, inDir EAST , Links *F-- -- 
PASS: Zone Q, inDir EAST , Links *B-- NE 
PASS: Zone Q, inDir EAST , Links *B-- -- 
PASS: Zone Q, inDir EAST , Links F*-- NE 
PASS: Zone Q, inDir EAST , Links F*-- -- 
PASS: Zone Q, inDir EAST , Links FF-- NE 
PASS: Zone Q, inDir EAST , Links FF-- -- 
PASS: Zone Q, inDir EAST , Links FB-- NE 
PASS: Zone Q, inDir EAST , Links FB-- -- 
PASS: Zone Q, inDir EAST , Links B*-- NE 
PASS: Zone Q, inDir EAST , Links B*-- -- 
PASS: Zone Q, inDir EAST , Links BF-- NE 
PASS: Zone Q, inDir EAST , Links BF-- -- 
PASS: Zone Q, inDir EAST , Links BB-- NE 
PASS: Zone Q, inDir EAST , Links BB-- -- 
PASS: Zone R, inDir NORTH, Links **-- NE 
PASS: Zone R, inDir NORTH, Links **-- -- 
PASS: Zone R, inDir NORTH, Links *F-- NE 
PASS: Zone R, inDir NORTH, Links *F-- -- 
PASS: Zone R, inDir NORTH, Links *B-- NE 
PASS: Zone R, inDir NORTH, Links *B-- -- 
PASS: Zone R, inDir NORTH, Links F*-- NE 
PASS: Zone R, inDir NORTH, Links F*-- -- 
PASS: Zone R, inDir NORTH, Links FF-- NE 
PASS: Zone R, inDir NORTH, Links FF-- -- 
PASS: Zone R, inDir NORTH, Links FB-- NE 
PASS: Zone R, inDir NORTH, Links FB-- -- 
PASS: Zone R, inDir NORTH, Links B*-- NE 
PASS: Zone R, inDir NORTH, Links B*-- -- 
PASS: Zone R, inDir NORTH, Links BF-- NE 
PASS: Zone R, inDir NORTH, Links BF-- -- 
PASS: Zone R, inDir NORTH, Links BB-- NE 
PASS: Zone R, inDir NORTH, Links BB-- -- 
PASS: Zone R, inDir EAST , Links **-- NE 
PASS: Zone R, inDir EAST , Links **-- -- 
PASS: Zone R, inDir EAST , Links *F-- NE 
PASS: Zone R, inDir EAST , Links *F-- -- 
PASS: Zone R, inDir EAST , Links *B-- NE 
PASS: Zone R, inDir EAST , Links *B-- -- 
