1782 Total Scenarios Tested.
1782 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone G, inDir NORTH, Links FB-F NE 
PASS: Zone G, inDir NORTH, Links FB-F -- 
PASS: Zone G, inDir NORTH, Links FB-B NE 
PASS: Zone G, inDir NORTH, Links FB-B -- 
PASS: Zone G, inDir NORTH, Links B*-* NE 
PASS: Zone G, inDir NORTH, Links B*-* -- 
PASS: Zone G, inDir NORTH, Links B*-F NE 
PASS: Zone G, inDir NORTH, Links B*-F -- 
PASS: Zone G, inDir NORTH, Links B*-B NE 
PASS: Zone G, inDir NORTH, Links B*-B -- 
PASS: Zone G, inDir NORTH, Links BF-* NE 
PASS: Zone G, inDir NORTH, Links BF-* -- 
PASS: Zone G, inDir NORTH, Links BF-F NE 
PASS: Zone G, inDir NORTH, Links BF-F -- 
PASS: Zone G, inDir NORTH, Links BF-B NE 
PASS: Zone G, inDir NORTH, Links BF-B -- 
PASS: Zone G, inDir NORTH, Links BB-* NE 
PASS: Zone G, inDir NORTH, Links BB-* -- 
PASS: Zone G, inDir NORTH, Links BB-F NE 
PASS: Zone G, inDir NORTH, Links BB-F -- 
PASS: Zone G, inDir NORTH, Links BB-B NE 
PASS: Zone G, inDir NORTH, Links BB-B -- 
PASS: Zone G, inDir EAST , Links **-* NE 
PASS: Zone G, inDir EAST , Links **-* -- 
PASS: Zone G, inDir EAST , Links **-F NE 
PASS: Zone G, inDir EAST , Links **-F -- 
PASS: Zone G, inDir EAST , Links **-B NE 
PASS: Zone G, inDir EAST , Links **-B -- 
PASS: Zone G, inDir EAST , Links *F-* NE 
PASS: Zone G, inDir EAST , Links *F-* -- 
PASS: Zone G, inDir EAST , Links *F-F NE 
PASS: Zone G, inDir EAST , Links *F-F -- 
PASS: Zone G, inDir EAST , Links *F-B NE 
PASS: Zone G, inDir EAST , Links *F-B -- 
PASS: Zone G, inDir EAST , Links *B-* NE 
PASS: Zone G, inDir EAST , Links *B-* -- 
PASS: Zone G, inDir EAST , Links *B-F NE 
PASS: Zone G, inDir EAST , Links *B-F -- 
PASS: Zone G, inDir EAST , Links *B-B NE 
PASS: Zone G, inDir EAST , Links *B-B -- 
PASS: Zone G, inDir EAST , Links F*-* NE 
PASS: Zone G, inDir EAST , Links F*-* -- 
PASS: Zone G, inDir EAST , Links F*-F NE 
PASS: Zone G, inDir EAST , Links F*-F -- 
PASS: Zone G, inDir EAST , Links F*-B NE 
PASS: Zone G, inDir EAST , Links F*-B -- 
PASS: Zone G, inDir EAST , Links FF-* NE 
PASS: Zone G, inDir EAST , Links FF-* -- 
PASS: Zone G, inDir EAST , Links FF-F NE 
PASS: Zone G, inDir EAST , Links FF-F -- 
PASS: Zone G, inDir EAST , Links FF-B NE 
PASS: Zone G, inDir EAST , Links FF-B -- 
PASS: Zone G, inDir EAST , Links FB-* NE 
PASS: Zone G, inDir EAST , Links FB-* -- 
PASS: Zone G, inDir EAST , Links FB-F NE 
PASS: Zone G, inDir EAST , Links FB-F -- 
PASS: Zone G, inDir EAST , Links FB-B NE 
PASS: Zone G, inDir EAST , Links FB-B -- 
PASS: Zone G, inDir EAST , Links B*-* NE 
PASS: Zone G, inDir EAST , Links B*-* -- 
PASS: Zone G, inDir EAST , Links B*-F NE 
PASS: Zone G, inDir EAST , Links B*-F -- 
PASS: Zone G, inDir EAST , Links B*-B NE 
PASS: Zone G, inDir EAST , Links B*-B -- 
PASS: Zone G, inDir EAST , Links BF-* NE 
PASS: Zone G, inDir EAST , Links BF-* -- 
PASS: Zone G, inDir EAST , Links BF-F NE 
PASS: Zone G, inDir EAST , Links BF-F -- 
PASS: Zone G, inDir EAST , Links BF-B NE 
PASS: Zone G, inDir EAST , Links BF-B -- 
PASS: Zone G, inDir EAST , Links BB-* NE 
PASS: Zone G, inDir EAST , Links BB-* -- 
PASS: Zone G, inDir EAST , Links BB-F NE 
PASS: Zone G, inDir EAST , Links BB-F -- 
PASS: Zone G, inDir EAST , Links BB-B NE 
PASS: Zone G, inDir EAST , Links BB-B -- 
PASS: Zone G, inDir SOUTH, Links **-* NE 
PASS: Zone G, inDir SOUTH, Links **-* -- 
PASS: Zone G, inDir SOUTH, Links **-F NE 
PASS: Zone G, inDir SOUTH, Links **-F -- 
PASS: Zone G, inDir SOUTH, Links **-B NE 
PASS: Zone G, inDir SOUTH, Links **-B -- 
PASS: Zone G, inDir SOUTH, Links *F-* NE 
PASS: Zone G, inDir SOUTH, Links *F-* -- 
PASS: Zone G, inDir SOUTH, Links *F-F NE 
PASS: Zone G, inDir SOUTH, Links *F-F -- 
PASS: Zone G, inDir SOUTH, Links *F-B NE 
PASS: Zone G, inDir SOUTH, Links *F-B -- 
PASS: Zone G, inDir SOUTH, Links *B-* NE 
PASS: Zone G, inDir SOUTH, Links *B-* -- 
PASS: Zone G, inDir SOUTH, Links *B-F NE 
PASS: Zone G, inDir SOUTH, Links *B-F -- 
PASS: Zone G, inDir SOUTH, Links *B-B NE 
PASS: Zone G, inDir SOUTH, Links *B-B -- 
PASS: Zone G, inDir SOUTH, Links F*-* NE 
PASS: Zone G, inDir SOUTH, Links F*-* -- 
PASS: Zone G, inDir SOUTH, Links F*-F NE 
PASS: Zone G, inDir SOUTH, Links F*-F -- 
PASS: Zone G, inDir SOUTH, Links F*-B NE 
PASS: Zone G, inDir SOUTH, Links F*-B -- 
PASS: Zone G, inDir SOUTH, Links FF-* NE 
PASS: Zone G, inDir SOUTH, Links FF-* -- 
PASS: Zone G, inDir SOUTH, Links FF-F NE 
PASS: Zone G, inDir SOUTH, Links FF-F -- 
PASS: Zone G, inDir SOUTH, Links FF-B NE 
PASS: Zone G, inDir SOUTH, Links FF-B -- 
PASS: Zone G, inDir SOUTH, Links FB-* NE 
PASS: Zone G, inDir SOUTH, Links FB-* -- 
