1782 Total Scenarios Tested.
1782 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone G, inDir NORTH, Links FF*- -- 
PASS: Zone G, inDir NORTH, Links FFF- NE 
PASS: Zone G, inDir NORTH, Links FFF- -- 
PASS: Zone G, inDir NORTH, Links FFB- NE 
PASS: Zone G, inDir NORTH, Links FFB- -- 
PASS: Zone G, inDir NORTH, Links FB*- NE 
PASS: Zone G, inDir NORTH, Links FB*- -- 
PASS: Zone G, inDir NORTH, Links FBF- NE 
PASS: Zone G, inDir NORTH, Links FBF- -- 
PASS: Zone G, inDir NORTH, Links FBB- NE 
PASS: Zone G, inDir NORTH, Links FBB- -- 
PASS: Zone G, inDir NORTH, Links B**- NE 
PASS: Zone G, inDir NORTH, Links B**- -- 
PASS: Zone G, inDir NORTH, Links B*F- NE 
PASS: Zone G, inDir NORTH, Links B*F- -- 
PASS: Zone G, inDir NORTH, Links B*B- NE 
PASS: Zone G, inDir NORTH, Links B*B- -- 
PASS: Zone G, inDir NORTH, Links BF*- NE 
PASS: Zone G, inDir NORTH, Links BF*- -- 
PASS: Zone G, inDir NORTH, Links BFF- NE 
PASS: Zone G, inDir NORTH, Links BFF- -- 
PASS: Zone G, inDir NORTH, Links BFB- NE 
PASS: Zone G, inDir NORTH, Links BFB- -- 
PASS: Zone G, inDir NORTH, Links BB*- NE 
PASS: Zone G, inDir NORTH, Links BB*- -- 
PASS: Zone G, inDir NORTH, Links BBF- NE 
PASS: Zone G, inDir NORTH, Links BBF- -- 
PASS: Zone G, inDir NORTH, Links BBB- NE 
PASS: Zone G, inDir NORTH, Links BBB- -- 
PASS: Zone G, inDir EAST , Links ***- NE 
PASS: Zone G, inDir EAST , Links ***- -- 
PASS: Zone G, inDir EAST , Links **F- NE 
PASS: Zone G, inDir EAST , Links **F- -- 
PASS: Zone G, inDir EAST , Links **B- NE 
PASS: Zone G, inDir EAST , Links **B- -- 
PASS: Zone G, inDir EAST , Links *F*- NE 
PASS: Zone G, inDir EAST , Links *F*- -- 
PASS: Zone G, inDir EAST , Links *FF- NE 
