1053 Total Scenarios Tested.
1053 Passed Scenarios (100%)
0 Failed Scenarios (0%)
---------
PASS: Zone E, inDir WEST , Links -*BB -- 
PASS: Zone E, inDir WEST , Links -F** -- 
PASS: Zone E, inDir WEST , Links -F*F -- 
PASS: Zone E, inDir WEST , Links -F*B -- 
PASS: Zone E, inDir WEST , Links -FF* -- 
PASS: Zone E, inDir WEST , Links -FFF -- 
PASS: Zone E, inDir WEST , Links -FFB -- 
PASS: Zone E, inDir WEST , Links -FB* -- 
PASS: Zone E, inDir WEST , Links -FBF -- 
PASS: Zone E, inDir WEST , Links -FBB -- 
PASS: Zone E, inDir WEST , Links -B** -- 
PASS: Zone E, inDir WEST , Links -B*F -- 
PASS: Zone E, inDir WEST , Links -B*B -- 
PASS: Zone E, inDir WEST , Links -BF* -- 
PASS: Zone E, inDir WEST , Links -BFF -- 
PASS: Zone E, inDir WEST , Links -BFB -- 
PASS: Zone E, inDir WEST , Links -BB* -- 
PASS: Zone E, inDir WEST , Links -BBF -- 
PASS: Zone E, inDir WEST , Links -BBB -- 
PASS: Zone F, inDir EAST , Links -*** NE 
PASS: Zone F, inDir EAST , Links -*** -- 
PASS: Zone F, inDir EAST , Links -**F NE 
PASS: Zone F, inDir EAST , Links -**F -- 
PASS: Zone F, inDir EAST , Links -**B NE 
PASS: Zone F, inDir EAST , Links -**B -- 
PASS: Zone F, inDir EAST , Links -*F* NE 
PASS: Zone F, inDir EAST , Links -*F* -- 
PASS: Zone F, inDir EAST , Links -*FF NE 
PASS: Zone F, inDir EAST , Links -*FF -- 
PASS: Zone F, inDir EAST , Links -*FB NE 
PASS: Zone F, inDir EAST , Links -*FB -- 
PASS: Zone F, inDir EAST , Links -*B* NE 
PASS: Zone F, inDir EAST , Links -*B* -- 
PASS: Zone F, inDir EAST , Links -*BF NE 
PASS: Zone F, inDir EAST , Links -*BF -- 
PASS: Zone F, inDir EAST , Links -*BB NE 
PASS: Zone F, inDir EAST , Links -*BB -- 
PASS: Zone F, inDir EAST , Links -F** NE 
PASS: Zone F, inDir EAST , Links -F** -- 
PASS: Zone F, inDir EAST , Links -F*F NE 
PASS: Zone F, inDir EAST , Links -F*F -- 
PASS: Zone F, inDir EAST , Links -F*B NE 
PASS: Zone F, inDir EAST , Links -F*B -- 
PASS: Zone F, inDir EAST , Links -FF* NE 
PASS: Zone F, inDir EAST , Links -FF* -- 
PASS: Zone F, inDir EAST , Links -FFF NE 
PASS: Zone F, inDir EAST , Links -FFF -- 
PASS: Zone F, inDir EAST , Links -FFB NE 
PASS: Zone F, inDir EAST , Links -FFB -- 
PASS: Zone F, inDir EAST , Links -FB* NE 
PASS: Zone F, inDir EAST , Links -FB* -- 
PASS: Zone F, inDir EAST , Links -FBF NE 
PASS: Zone F, inDir EAST , Links -FBF -- 
PASS: Zone F, inDir EAST , Links -FBB NE 
PASS: Zone F, inDir EAST , Links -FBB -- 
PASS: Zone F, inDir EAST , Links -B** NE 
PASS: Zone F, inDir EAST , Links -B** -- 
PASS: Zone F, inDir EAST , Links -B*F NE 
PASS: Zone F, inDir EAST , Links -B*F -- 
PASS: Zone F, inDir EAST , Links -B*B NE 
PASS: Zone F, inDir EAST , Links -B*B -- 
PASS: Zone F, inDir EAST , Links -BF* NE 
PASS: Zone F, inDir EAST , Links -BF* -- 
PASS: Zone F, inDir EAST , Links -BFF NE 
PASS: Zone F, inDir EAST , Links -BFF -- 
PASS: Zone F, inDir EAST , Links -BFB NE 
PASS: Zone F, inDir EAST , Links -BFB -- 
PASS: Zone F, inDir EAST , Links -BB* NE 
PASS: Zone F, inDir EAST , Links -BB* -- 
PASS: Zone F, inDir EAST , Links -BBF NE 
PASS: Zone F, inDir EAST , Links -BBF -- 
PASS: Zone F, inDir EAST , Links -BBB NE 
PASS: Zone F, inDir EAST , Links -BBB -- 
PASS: Zone F, inDir SOUTH, Links -*** NE 
PASS: Zone F, inDir SOUTH, Links -*** -- 
PASS: Zone F, inDir SOUTH, Links -**F NE 
PASS: Zone F, inDir SOUTH, Links -**F -- 
PASS: Zone F, inDir SOUTH, Links -**B NE 
PASS: Zone F, inDir SOUTH, Links -**B -- 
PASS: Zone F, inDir SOUTH, Links -*F* NE 
PASS: Zone F, inDir SOUTH, Links -*F* -- 
PASS: Zone F, inDir SOUTH, Links -*FF NE 
PASS: Zone F, inDir SOUTH, Links -*FF -- 
PASS: Zone F, inDir SOUTH, Links -*FB NE 
PASS: Zone F, inDir SOUTH, Links -*FB -- 
PASS: Zone F, inDir SOUTH, Links -*B* NE 
PASS: Zone F, inDir SOUTH, Links -*B* -- 
PASS: Zone F, inDir SOUTH, Links -*BF NE 
PASS: Zone F, inDir SOUTH, Links -*BF -- 
PASS: Zone F, inDir SOUTH, Links -*BB NE 
PASS: Zone F, inDir SOUTH, Links -*BB -- 
PASS: Zone F, inDir SOUTH, Links -F** NE 
PASS: Zone F, inDir SOUTH, Links -F** -- 
PASS: Zone F, inDir SOUTH, Links -F*F NE 
PASS: Zone F, inDir SOUTH, Links -F*F -- 
PASS: Zone F, inDir SOUTH, Links -F*B NE 
PASS: Zone F, inDir SOUTH, Links -F*B -- 
PASS: Zone F, inDir SOUTH, Links -FF* NE 
PASS: Zone F, inDir SOUTH, Links -FF* -- 
PASS: Zone F, inDir SOUTH, Links -FFF NE 
PASS: Zone F, inDir SOUTH, Links -FFF -- 
PASS: Zone F, inDir SOUTH, Links -FFB NE 
PASS: Zone F, inDir SOUTH, Links -FFB -- 
PASS: Zone F, inDir SOUTH, Links -FB* NE 
PASS: Zone F, inDir SOUTH, Links -FB* -- 
PASS: Zone F, inDir SOUTH, Links -FBF NE 
PASS: Zone F, inDir SOUTH, Links -FBF -- 
PASS: Zone F, inDir SOUTH, Links -FBB NE 
PASS: Zone F, inDir SOUTH, Links -FBB -- 
PASS: Zone F, inDir SOUTH, Links -B** NE 
PASS: Zone F, inDir SOUTH, Links -B** -- 
PASS: Zone F, inDir SOUTH, Links -B*F NE 
PASS: Zone F, inDir SOUTH, Links -B*F -- 
PASS: Zone F, inDir SOUTH, Links -B*B NE 
PASS: Zone F, inDir SOUTH, Links -B*B -- 
PASS: Zone F, inDir SOUTH, Links -BF* NE 
PASS: Zone F, inDir SOUTH, Links -BF* -- 
PASS: Zone F, inDir SOUTH, Links -BFF NE 
PASS: Zone F, inDir SOUTH, Links -BFF -- 
PASS: Zone F, inDir SOUTH, Links -BFB NE 
PASS: Zone F, inDir SOUTH, Links -BFB -- 
PASS: Zone F, inDir SOUTH, Links -BB* NE 
PASS: Zone F, inDir SOUTH, Links -BB* -- 
PASS: Zone F, inDir SOUTH, Links -BBF NE 
PASS: Zone F, inDir SOUTH, Links -BBF -- 
PASS: Zone F, inDir SOUTH, Links -BBB NE 
PASS: Zone F, inDir SOUTH, Links -BBB -- 
PASS: Zone F, inDir WEST , Links -*** NE 
PASS: Zone F, inDir WEST , Links -*** -- 
PASS: Zone F, inDir WEST , Links -**F NE 
PASS: Zone F, inDir WEST , Links -**F -- 
PASS: Zone F, inDir WEST , Links -**B NE 
PASS: Zone F, inDir WEST , Links -**B -- 
PASS: Zone F, inDir WEST , Links -*F* NE 
